sequence,label,length
((())((()(())))),1,16
((()()))(()()())()()()(((()()))),1,32
))(((()))())(())())(()(,0,23
)())(()(()(()))(())(,0,20
(())()(()(())(()(()(())))),1,26
()()((()())(())(())())(()),1,26
(()(()((((,0,10
(()())((((()()())())))()()(()),1,30
()((()((()))()())())())))()())),0,31
((())(()))(())(())((((())))),1,28
(()()())()((())(())()),1,22
()()(((((()())))(())))()(())()(),1,32
())))()((((((((())((())))((((((,0,31
))(()((()(()))(,0,15
((((((((())((()((((((((())(()()),0,32
()))()((()((((((()))))((),0,25
(())(()((()))(((((())()()))())(,0,31
)))))()()((()(((,0,16
(())()()(((()()())))(),1,22
(()(())())(),1,12
(()(((()))()())()(()))()((())),1,30
(()()())))),0,11
))()()(((((((())())()))())(),0,28
()()(())(()()((()))(())()),1,26
((((())))(())(())),1,18
))((()())))((((()()),0,20
(())((()((()()())))),1,20
()(())()))()()()()((())(,0,24
()(()())(()(((())(((((())))))))),1,32
)(()(()((()()))))((),0,20
()(())()()()()()((())(())),1,26
()()(())()(())()((()(()))),1,26
()()()()()()()()()()()()()()(),1,30
)(())()))())((()())())))(()((,0,29
))))(((())(((()(()())),0,22
)))((()()()))(()())))))))()())(,0,31
()()((())(()())()())()(),1,24
()((()))((())))()(()))()((,0,26
()()(())(())((()(()()(())))),1,28
(()()())()(()()(()(())))(()),1,28
)(((()(()))())(),0,16
()(((()))()())(())()()(),1,24
))()()()(()(())))(((())(,0,24
(()(((()(())(,0,13
(())()))((())(())((,0,19
((())(())()())((()(()))),1,24
()(())(()()()),1,14
(((()()))))()(,0,14
)(())(()())(())())),0,19
(())()()()(())()((()()()())())(),1,32
))))(()(((()))())(())()(((())(,0,30
(())()()()()((((()((((())))))))),1,32
))))()()()())())()()((()(,0,25
(()((()())))()()()(((())(()))),1,30
(())((()()))())(((()(,0,21
((()))(((()())()))()()()(()()),1,30
)(()))(()()))(()((((),0,21
()()()()(()())((((()())))),1,26
()()()((()))()((())())(((()))),1,30
(())()((((((((())))(((())))))))),1,32
()((()(((())()(()))))),1,22
())(()(())())))(()()()))(()))(),0,31
))(()()((,0,9
((()()))()(())(((()))()),1,24
()()())()(((((()()),0,19
())())((())()))(()(,0,19
()((()))()()(())((()()))()(()),1,30
()(()()()(((())())))()((()))()(),1,32
()()(()())(())()()()(())()()(),1,30
(())()()())(()),0,15
((((((()))()()(()()))))),1,24
(((()(())(()()(()(()))(()()))))),1,32
()()()(())(((())))()(()),1,24
()()(()(((()())()())))((())),1,28
)()()(()((()()))((()),0,21
()()()(((())(())))(((((()))))),1,30
(((())(((()(())))))),1,20
((())(()))((()))(()()),1,22
((()()(()(),0,11
)())(()((((,0,11
())()((((())(,0,13
((((()))))(((((()))))),1,22
((((()())())()))()(()),1,22
()(()())()(()(()(())()())((()))),1,32
()()()((()))()()()()()(()()),1,28
(()((()(()((())))))),1,20
()()((()()(()(())))),1,20
(())(()(()(((()))))),1,20
((((()()((((((())()))))))))),1,28
()()(())()()())()(()()(((((,0,27
)))()())))))()(())),0,19
()()(())()((()())(()())),1,24
((((())())(())((((()()()))(,0,27
))(()()()))((()()(,0,18
(()(())(()()()(()(())))),1,24
())()(((()(()())))()(()(())))(,0,30
()()(()(()()()((()())((()))))),1,30
((((()()())(())))),1,18
(())()(()((()())),0,17
(()((())))((())),1,16
(()((())(()))())()),0,19
(((())))()((()))(()),1,20
)))))(()),0,9
(())()()(((()))()(()())(())),1,28
(())()(()(()())),1,16
()(())()(())(())()(()((()))),1,28
((((()))))(()())(((()))))(),0,27
((()))(((()()(((((())))))))),1,28
)))((()()())))(()(()((,0,22
())()())()))))))(,0,17
((((()))))())(())(((()()),0,25
()(()()(())((())((()(()))((,0,27
)(()))()()))()(()(()(())(,0,25
((()()((()))))()()(()()),1,24
(()())()(((()))(()))(),1,22
()())())()(()()))()(()),0,23
(())()))(()((()),0,16
(()(())()(()))(())()(())()()(()),1,32
())()()))(())(((((())),0,22
((())())(())((()(()((()()))))),1,30
)())(())()))((())((((()()((,0,27
)((()))))()))()())))(((,0,23
(())(((())))()((()())),1,22
))()())(()()())(((,0,18
(()())(((())(()))),1,18
(()))((()()(()))))())(()((()()(),0,32
()(((())(()())()()())),1,22
((())((()()())()((())))((())())),1,32
()()()((()))(())()()()(((()()))),1,32
())(())())(()((),0,16
)))()()((((((((())))))()((),0,27
()((()))((((((())(()))())))),1,28
()((()))((())())()(()),1,22
)(()(()))(()()(),0,16
(())()(()(()((()((())))))),1,26
)())()))),0,9
(())()(()(((())()))))())(((),0,28
))))))()))()))(())(,0,19
)()()))))))())(()(())())(()((,0,29
(())()((()()))()()(((((())))))(),1,32
)))))(()(())(,0,13
))(()))(()))))))(((,0,19
((()(((()))(())))),1,18
()()()()(((()(())(()()))())),1,28
)(()((()))(())))()((()))((,0,26
((()(()(()(((()(()())(())()(,0,28
()((()(((()()((()((()))))))))),1,30
)(())(((())())))())()))(),0,25
((((()(()(((((()(((((()((,0,25
()()((())())()()()()(()()())(()),1,32
((((())())))(()())())()(((())),0,30
(()())))()()(()())))(,0,21
))))()))((())((,0,15
)(()(((((((()))))((()))))),0,26
()(((()((((()((()()()))))))))),1,30
(()(()())(())(()))((()))(()()),1,30
()(())(())(()(()))(((()))())(),1,30
(())((((((()()))))((((()))())))),1,32
))))(()))(),0,11
())(()((())),0,12
(()())(()(()))()(()()(()())),1,28
)))))(((()()())(()()((,0,22
(()())))()(((()))((),0,20
)(()()())()((()),0,16
)((())())()()(((())())((()),0,27
((((()()())(()(()))))),1,22
)())(())),0,9
)())((()()()((()),0,17
(()(())((((())((((()(()))))))))),1,32
))())))(())())),0,15
((()()()()()))((()()(()))),1,26
()()(())((())(((()()))))()(),1,28
)())(()(())())()))))),0,21
(((())))()()()()()()()()()(),1,28
